,AK006F,AK007F,AK008F,AK010F,AK012F,AK014F,AK016F,AK017F,AK018F,AK019_20F,AK020_21F,AK029_30F,AK034F
ENSG00000184454,2,0,1,2,0,5,2,3,3,10,10,3,3
ENSG00000133226,145,177,294,96,31,690,586,756,757,884,968,964,321
ENSG00000169504,399,326,472,94,12,912,943,869,1058,830,737,812,374
ENSG00000020633,19,34,48,7,0,28,37,44,38,119,98,78,34
ENSG00000117614,210,162,319,74,5,526,520,622,780,770,779,974,211
ENSG00000117616,94,112,107,95,74,108,53,85,112,746,418,299,114
ENSG00000187010,0,0,0,0,0,1,1,1,0,2,0,0,0
ENSG00000183726,659,398,649,136,3,922,1034,929,1051,1678,1495,1536,531
ENSG00000188672,0,1,0,0,0,2,2,1,0,2,0,2,1
ENSG00000204178,93,53,101,25,2,216,207,234,225,331,327,383,92
ENSG00000157978,87,87,108,29,1,127,96,138,136,220,174,195,81
ENSG00000117643,4,1,1,0,1,8,3,10,6,12,8,11,3
ENSG00000162430,746,639,796,169,15,560,614,592,633,1358,881,843,533
ENSG00000255054,14,16,11,3,0,36,12,40,26,61,50,56,12
ENSG00000117640,168,148,224,70,9,164,180,168,214,439,299,309,143
ENSG00000127423,93,77,128,51,10,124,117,109,126,335,338,377,47
ENSG00000182749,91,45,71,18,3,82,60,64,86,260,225,224,60
ENSG00000117632,2052,1791,2608,486,32,2859,2668,2868,2834,3832,3943,3528,990
ENSG00000158006,60,64,96,24,0,152,129,139,189,359,312,353,72
ENSG00000158008,0,1,1,4,0,0,0,0,1,3,2,3,0
ENSG00000158014,0,0,0,0,0,2,0,0,2,1,1,2,0
ENSG00000158022,0,0,0,0,0,0,0,0,0,1,2,1,0
ENSG00000175087,24,21,30,44,2,50,27,41,47,187,164,213,24
ENSG00000197245,0,0,0,1,0,2,0,1,1,8,7,4,1
ENSG00000142684,404,521,627,279,29,478,400,503,520,2145,1625,1638,336
ENSG00000142675,1,1,2,7,6,1,0,4,2,36,14,8,1
ENSG00000188782,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000130695,60,71,91,49,8,237,154,233,234,507,541,515,93
ENSG00000142669,1547,1764,2054,760,60,692,692,812,897,2850,1752,1772,770
ENSG00000158062,43,58,62,39,22,35,49,70,62,280,188,117,54
ENSG00000169442,0,0,0,0,0,0,0,0,0,5,0,0,0
ENSG00000176092,7,6,10,13,1,23,14,22,25,91,67,65,10
ENSG00000176083,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000131914,0,0,0,1,0,0,0,0,2,3,1,0,0
ENSG00000117682,62,83,87,35,3,199,153,192,189,239,271,289,78
ENSG00000198830,350,548,564,220,28,794,744,843,844,2397,1608,1288,265
ENSG00000117676,194,152,234,34,3,284,277,304,315,464,428,408,143
ENSG00000117713,230,274,475,248,36,1146,910,1167,1229,2342,2614,2364,435
ENSG00000060642,96,65,90,34,1,117,131,148,153,310,272,184,57
ENSG00000204160,388,272,414,157,16,237,243,265,241,965,673,678,208
ENSG00000175793,1582,1198,1912,610,56,2675,2288,3224,2666,4897,6388,5764,1180
ENSG00000142751,133,136,182,60,5,304,309,293,331,610,572,603,154
ENSG00000198746,28,23,47,23,3,75,61,83,98,259,221,254,48
ENSG00000090273,1043,895,1464,222,18,2314,2465,2797,2548,2997,3181,3215,1028
