Geneid,AK006F,AK007F,AK008F,AK010F,AK012F,AK014F,AK016F,AK017F,AK018F,AK019_20F,AK021_22F,AK029_30F,AK034F,AK098F,AK102F,AK117F,AK123F,AK133F,AK134F,AK135F,AK136F,AK137F,AK138F
ENSG00000125798,258.5,300.83,428.5,171.5,31.5,517.83,489.5,657.17,655.67,1722.14,1833.67,1804.33,316.5,1020.33,596.64,690.5,456.17,840.67,832.83,184.17,265.5,654.43,668.92
ENSG00000132671,0,0,0.5,0,0,0,0,0,1.83,1.33,2,1,0,1,1,1,1,5,1,0,0,0,0
ENSG00000178726,401.5,271,369,339,34,357,544,641,693,3003,2084,1868,981,1351,1291,957,894,1651,1532,493,318,775.25,882
ENSG00000125810,0,0,0,0,0,0,0,1,0.5,0,1,0,1,0.5,0,0.33,0,0,1,1,0,0.5,0
ENSG00000132661,504.83,380,551,568,31.5,385.5,422,418.5,500.5,2734,1882.5,2638.5,382.5,939.5,897,600.5,464,1697.5,1613.5,399.5,309,635,825.5
ENSG00000125812,69,62,94,93,8,256.5,189.5,246,308,544,541,686.83,116,367.5,148,352.5,155,306,243,86,51,162,335
ENSG00000125814,24,9,33,28,4,32,21.83,36,50.07,118,110,116,26,47,26.33,40,23.33,72.46,47,10,12,31.46,69.5
ENSG00000125823,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.02,0,0,0.5,0,0
ENSG00000125831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000125815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000101435,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0
ENSG00000173335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000101439,3721.5,3229,4271.5,1436,74,3390,3440.5,3346,3497.83,8443,6097,7057.5,2477.5,7540.75,3396.5,4540,1577,13495.25,7102.33,862,2098.5,5237,5129
ENSG00000101441,6.67,1.17,0.83,3.33,0,8.67,4,2.17,3.17,22.17,17.67,18.33,0.33,7.42,2.67,9.5,3.33,22.08,13.83,6.33,0,0.33,0.83
ENSG00000170373,48.67,1.17,10.33,16.83,3,39.67,12,5.17,9.67,87.17,75.67,55.83,2.33,35.42,22.67,39,16.33,149.08,78.83,26.83,2,1.33,2.33
ENSG00000170369,5.33,0.67,0.5,5.83,2,5.67,2,2.67,3.17,14.67,15.33,11,1.33,2.92,6.67,4.83,1.67,14.92,12.33,3.83,0,0.33,0.83
ENSG00000170367,0.5,0,1,0.5,0,0,1.5,0,0.83,1,0,0,1.5,0,0.5,1,0,1.5,1.5,0,0,0.5,0
